"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1993",20184.946005,
"AUS","GDP","TOT","USD_CAP","A","1994",21432.775454,
"AUS","GDP","TOT","USD_CAP","A","1995",22442.316842,
"AUS","GDP","TOT","USD_CAP","A","1996",23289.401829,
"AUS","GDP","TOT","USD_CAP","A","1997",24477.413795,
"AUS","GDP","TOT","USD_CAP","A","1998",25708.263828,
"AUS","GDP","TOT","USD_CAP","A","1999",27139.248201,
"AUS","GDP","TOT","USD_CAP","A","2000",28312.859441,
"AUS","GDP","TOT","USD_CAP","A","2001",29546.415014,
"AUS","GDP","TOT","USD_CAP","A","2002",30807.514079,
"AUS","GDP","TOT","USD_CAP","A","2003",32391.486238,
"AUS","GDP","TOT","USD_CAP","A","2004",34000.173773,
"AUS","GDP","TOT","USD_CAP","A","2005",35659.125487,
"AUS","GDP","TOT","USD_CAP","A","2006",37938.792079,
"AUS","GDP","TOT","USD_CAP","A","2007",39687.44861,
"AUS","GDP","TOT","USD_CAP","A","2008",40130.341686,
"AUS","GDP","TOT","USD_CAP","A","2009",41672.92375,
"AUS","GDP","TOT","USD_CAP","A","2010",42816.42896,
"AUS","GDP","TOT","USD_CAP","A","2011",44440.579478,
"AUS","GDP","TOT","USD_CAP","A","2012",43884.635595,
"AUS","GDP","TOT","USD_CAP","A","2013",47763.2159,
"AUS","GDP","TOT","USD_CAP","A","2014",47606.754929,
"AUS","GDP","TOT","USD_CAP","A","2015",47226.759745,
"AUS","GDP","TOT","USD_CAP","A","2016",50136.798381,
"AUS","GDP","TOT","USD_CAP","A","2017",50706.489861,
"AUS","GDP","TOT","USD_CAP","A","2018",53025.386896,
"AUS","GDP","TOT","USD_CAP","A","2019",52785.250556,
"AUS","GDP","TOT","USD_CAP","A","2020",55772.741079,
"AUS","GDP","TOT","USD_CAP","A","2021",62095.40433,
"AUS","GDP","TOT","USD_CAP","A","2022",70011.35139,"E"
"AUT","GDP","TOT","USD_CAP","A","1993",21732.871184,"E"
