,Economy Code,Economy Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Remarks,Source (2022-04),Source (2021-10),Source (2023-03)
0,AFG,Afghanistan,,,,,,,,,,,,,,,,,,,,,,823821,1204173,1238414,1253266,1260758,1263820,1272843,1305493,1313436,1335785,1351149,,,,Ministry of Transport and Civil Aviation and Private Sector,http://nsia.gov.af:8080/wp-content/uploads/2022/11/Three-Language-Hjry-Shamsy-016-2.pdf
1,ARM,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AUS,Australia,,7949911,,8372586,,8727947,9096228,9317369,9642091,9803433,,9955246,10225598,10492999,10760359,11029685,11326068,11608657,11950715,12176345,12426709,12635236,12880156,13170142,13470292,13726247,13996156,14262661,14519756,14697949,14876783,15047437,15249749,Values revised based on latest yearbook,https://www.abs.gov.au/statistics/industry/tourism-and-transport/motor-vehicle-census-australia/31-jan-2021/93090do001_2021.xls,https://www.bitre.gov.au/sites/default/files/documents/BITRE_2019_YEARBOOK.pdf,https://www.bitre.gov.au/sites/default/files/documents/bitre-yearbook-2022.pdf
3,AZE,Azerbaijan,299254,298195,294952,300064,311541,312492,307232,302718,312855,339616,360060,374500,380514,432441,473113,521217,592617,662927,746959,808488,864093,915444,1005917,1099041,1149882,1181337,1189026,1199467,1223231,1267857,1318904,1405464,,New data,,,https://www.stat.gov.az/source/transport/?lang=en
4,BGD,Bangladesh,,,,,,,,,,214384,225161,239405,257202,277462,289257,304047,328836,357589,394425,370569,414154,437475,482687,578760,615166,628552,683553,737284,786349,827790,869395,,,Source revised 2015-2019,,http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf,http://203.112.218.65:8008/WebTestApplication/userfiles/Image/latesreport/SYB_2021.pdf
5,BTN,Bhutan,,,,,,,,,,,,10116,11622,13135,14107,16415,19393,22016,26755,30004,34761,41006,44608,44787,46033,51673,58508,65011,69931,76758,80378,86828,,,https://www.nsb.gov.bt/publications/statistical-yearbook/,https://www.moic.gov.bt/wp-content/uploads/2019/03/10th-Annual-Info-Comm-and-Transport-Statistical-Bulletin-2019.pdf,https://www.nsb.gov.bt/publications/statistical-yearbook/
6,BRN,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,155696,,,220305,244016,247081,247655,257676,257534,262726,270211,261273,,,,,http://deps.gov.bn/DEPD%20Documents%20Library/DOS/BDSYB/BDSYB_2019/BDSYB_2019.pdf,https://deps.mofe.gov.bn/DEPD%20Documents%20Library/DOS/BDSYB/2021/RPT.pdf
7,KHM,Cambodia,,,135088,141964,149628,155974,163239,171268,176268,186480,194876,201225,210213,220737,236705,249249,,,,,,,,,,,,,,,,,,,,https://www.nis.gov.kh/nis/yearbooks/Yearbook05.htm#TRANSPORT%20AND%20COMMUNICATION,
8,CHN,People's Republic of China,,,,,,,,,,,,,,,,21324500,26195700,31959900,38389100,48450900,61241200,74783700,89430099,105617700,123267000,140958700,162782400,184695400,205554100,224742800,241661900,260158400,,,http://www.stats.gov.cn/tjsj/ndsj/2021/indexeh.htm,"National Bureau of Statistics of China, China Statistical Yearbook 2020",http://www.stats.gov.cn/sj/ndsj/2022/indexeh.htm
9,COK,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FJI,Fiji,,,,,,,,,,,,44091,48055,53020,57601,60920,63682,64089,64381,63643,65169,65709,67009,72113,78324,83255,93278,99218,101279,111590,112435,118678,,,,https://www.statsfiji.gov.fj/index.php/latest-releases/key-stats?view=download&format=raw&fileId=2024,https://www.statsfiji.gov.fj/index.php/latest-releases/key-stats?view=download&format=raw&fileId=2024
11,GEO,Georgia,519100,,,,,376300,,,,,,270500,266700,272600,278100,282100,459100,515900,552500,592300,637100,689200,753100,822800,909100,985200,1067700,1128300,1187800,1237500,1300000,1381500,,,https://www.geostat.ge/media/42476/Yearbook_2021.pdf,https://www.geostat.ge/media/20930/Statistical-Yearbook-Georgia_2009.pdf,https://www.geostat.ge/media/50652/Yearbook_2022.pdf
12,IND,India,5303000,5818000,6332000,6694000,7070000,7670000,8503000,9260000,10190000,10993000,12024000,13486700,14369539,15996158,17047478,18824395,20600157,22459618,24415890,26508004,31469524,32531717,35973730,40758216,41882902,45641930,50066499,53963000,57058518,60735863,68329000,,,Revised using latest report,https://morth.nic.in/sites/default/files/RTYB-2017-18-2018-19.pdf,"MoSPI, Statistical Yearbook, http://mospi.nic.in",https://morth.nic.in/sites/default/files/MoRTH%20Annual%20Report%20for%20the%20Year%202022-23%20in%20English.pdf
