Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,95666,118420,94775,106024,130003,137336,150214,177381,207134,224386,253332,263845,279381,266432,299553,355073,363110,294729,300974,297341,341691,378053,403680,460733,436543,480186,520643,560943,615551
Andorra,,,36978,36496,37599,39327,41391,42863,43779,45086,46912,48855,,,,,,,,,22025,,,,,,,,
Armenia,370650,328203,258000,247000,263000,,,,,,,,,,,,,,,,,,,,,,,,
Austria,4052689,4177217,3906659,4006657,4107776,4222010,4355606,4451384,4541572,4334973,4408852,4471463,4524350,4578620,4627944,4675706,4757571,4847436,4930054,5010081,5075639,5139421,5201750,5288596,5383312,5484120,5563615,5633525,5711842
Azerbaijan,360616,370071,403615,364635,354991,394872,404726,440422,451684,457883,479021,517031,596587,690012,773318,842528,906563,963729,900589,1126459,1212777,1272193,1312046,,1178225,1358669,1418365,,
Belarus,832216,932519,1046069,1144448,1187675,1340334,,,,,,,1782951,,,2275593,2872408,3044437,3191869,3198273,3238579,3412545,3503653,3527068,3139722,3205011,3275098,,3571208
Belgium,4537706,4654359,4730130,4810820,4906243,5002052,5122761,5241153,5327312,5389195,5439559,5514846,5586474,5661743,5755226,5858881,5933123,6029736,6184314,6233042,5607709,5669485,6455032,6570780,6675729,6776233,6843933,6868169,6944866
Bosnia and Herzegovina,,1058,62650,81047,,,,,,,,,429456,,,517499,694075,804662,814206,829651,853736,879379,908273,828333,973464,1014776,1027463,1020496,1072254
Bulgaria,1708942,1844188,1913016,1978482,2004968,2093532,2180852,2295395,2399152,2497818,2646835,2792311,2909642,2016847,2367199,2690410,2844899,2959914,3066212,3197318,3321453,3449341,3630438,4029027,3587731,3619657,3704939,3347644,3306709
Canada,16334762,16597303,16676888,16894798,17078194,17581125,16611174,17120053,17426850,17919747,18227555,18429786,18804804,,,20228489,20651580,20354309,,20739380,21350538,21820246,22158329,22500673,22678328,23137203,23472111,23810595,24157697
Croatia,703241,768352,788304,935231,1046783,1120634,1181882,1245326,1317968,1369704,1433658,1487260,1538129,1596310,1679957,1725875,1711048,1681298,1674837,1588231,1591346,1619747,1651261,1715090,1769843,1853694,1924591,1953808,2014573
Cyprus,295383,306868,323852,333844,343452,361048,370960,385615,400945,408789,425921,452828,476572,491944,531775,569181,588546,587093,591464,592300,587125,585519,594240,617430,637353,664821,690196,697093,712856
Czechia,3036310,3143307,3283105,3456691,3677668,3793232,3748391,3755445,3869419,4017935,4092385,4232154,4418295,4620235,4855247,5050787,5056710,5113619,5198906,5330037,5350568,4860518,5788058,6000877,6253164,6480562,6670879,6801020,6844940
