"Road vehicle fleet at 31 December by vehicle category and age group"

"Age Group","Type of Vehicle","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All ages","Passenger cars","Albania",57000,68000,59000,68000,88000,91000,99000,115000,134000,149000,174782,190004,195125,225114,237932,264828,281236,294729,300974,297341,341691,378053,403680,436013,417426,460027,499590,539497,593280
"All ages","Passenger cars","Andorra",48000,53000,35900,35400,36500,38200,40200,41700,42600,43900,45700,47600,,,,,,,,,22025,,,,,,,,
"All ages","Passenger cars","Armenia",282000,269000,258000,247000,263000,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Passenger cars","Austria",3367000,3479000,3594000,3690000,3783000,3887000,4010000,4097000,4182000,3987000,4054000,4109000,4157000,4205000,4246000,4285000,4360000,4441000,4513000,4584000,4641308,4694921,4748048,4821557,4898578,4978852,5039548,5091827,5133836
"All ages","Passenger cars","Azerbaijan",263000,276000,278000,274000,271000,281000,307000,332000,343000,351000,370000,403964,479000,548979,616853,700100,759200,815700,871400,958594,1048806,1100124,1129600,,1147437,1170672,1214093,,
"All ages","Passenger cars","Belarus",774000,876000,940000,1036000,1133000,1279000,,,,,,,1775167,,,2228505,2442654,2601402,2750555,2748534,2777885,2942579,3037186,3067492,3094751,3159872,3229935,,3131424
"All ages","Passenger cars","Belgium",4110000,4210000,4273000,4339000,4415000,4492000,4584000,4678000,4740000,4787000,4821000,4874000,4919000,4976000,5049000,5131000,5193000,5276000,5407000,5444000,5493472,5555499,5623579,5712061,5785447,5853782,5889210,5888589,5927912
"All ages","Passenger cars","Bosnia and Herzegovina",,,62000,80000,,,,,,,,,379019,,,447631,694075,724787,735258,751647,776270,801253,828730,828333,884569,920841,940933,936417,983077
"All ages","Passenger cars","Bulgaria",1505000,1588000,1648000,1707000,1731000,1809000,1908000,1993000,2086000,2174100,2309000,2438000,2538000,1768000,2082000,2366000,2502000,2602000,2695000,2807000,2910235,3013863,3162037,3143568,2770615,2773325,2829946,2866763,2830464
"All ages","Passenger cars","Canada",12925000,13131000,13192272,13251146,13487000,13887000,16538000,13807310,14194730,14200510,14799960,14300890,14757080,14842800,15330900,15966697,19876990,20267982,29608101,20651993,21261660,21729596,22067778,22410030,22678328,23137203,23472111,23743892,24093491
"All ages","Passenger cars","Croatia",646210,698391,710910,835714,932278,1000052,1059000,1119000,1185000,1228000,1282000,1329000,1374000,1426000,1510000,1551000,1541000,1521000,1518278,1445000,1448000,1474000,1499802,1552904,1596087,1666413,1724900,1746285,1795465
"All ages","Passenger cars","Cyprus",203000,210000,220000,227000,235000,249000,257000,268000,280000,288000,303000,335000,355000,373000,411000,444000,461000,463000,470000,475000,474561,478492,487692,508284,526617,550695,572501,578158,592156
"All ages","Passenger cars","Czechia",2833143,2923916,3043320,3192532,3391541,3492961,3440000,3438900,3529800,3647100,3706012,3816000,3959000,4109000,4280000,4423000,4435000,4496000,4582000,4706000,4729185,4833386,5115316,5307808,5538222,5747913,5924995,6049255,6088730
"All ages","Passenger cars","Denmark",1618000,1611000,1679000,1739000,1783000,1817000,1843000,1854000,1873000,1888000,2259761,2304630,1915821,2020013,2068493,2099090,2120322,2163676,2197831,2237122,2278121,2329578,2390823,2465538,2530047,2594469,2651726,2723667,2787553
"All ages","Passenger cars","Estonia",317425,337812,383444,406598,427678,450954,458700,463900,407300,400700,434000,471000,493700,554000,523800,551800,545600,552680,574000,602100,628565,652950,676596,703151,725944,746464,794926,808689,825936
"All ages","Passenger cars","Finland",1873000,1873000,1901000,1943000,1948000,2021000,2083000,2135000,2161000,2195000,2275000,2347000,2430000,2506000,2570000,2700000,2777000,2877000,2978000,3037000,3105834,3172735,3234860,3322672,3398937,3470507,3549803,3607531,3641532
"All ages","Passenger cars","France",24385000,24900000,25100000,25500000,26090000,26810000,27480000,28060000,28700000,29160000,29560000,29900000,30100000,30400000,30700000,30850000,31394000,31657000,31754000,32132000,32858000,32531000,32326000,37586724,38136818,38246432,38435918,38480505,38738590
"All ages","Passenger cars","Georgia",468763,441828,360600,323600,265600,260400,247900,244800,247800,252000,255200,307076,340077,382356,427780,500900,,577247,620891,672700,738700,821100,894700,973300,,,,,
"All ages","Passenger cars","Germany",38772000,39765000,40404000,40988000,41372000,41674000,42324000,43772000,44383000,44657000,45023000,45376000,46090000,46570000,41184000,41321000,41738000,42302000,42928000,43431000,43851000,44403000,45071000,45803560,46474594,47095784,47715977,48248584,48540878
"All ages","Passenger cars","Greece",1959000,2074000,2205000,2339000,2500000,2676000,2929000,3195000,3424000,3646000,3840000,4073511,4303129,,4798530,5023944,5131960,5216873,5203591,5167557,5124208,5110873,5107620,5160056,5235928,5282695,5406551,5492176,5604192
"All ages","Passenger cars","Hungary",2093529,2178891,2244946,2265180,2297964,2218124,2256000,2365000,2482800,2629500,2777000,2828000,2889000,3214000,3262000,3055000,3013720,2984060,2967810,2986030,3040732,3107695,3196856,3313206,3471997,3641823,3812013,3920799,4020159
"All ages","Passenger cars","Iceland",116000,116000,119000,125000,132000,140000,151000,159000,160000,162000,167000,175000,187442,197305,207513,209740,205338,204736,206112,210070,213113,217454,226321,240490,257100,267467,269825,269615,289017
