"Passenger road vehicle fleet and rate per thousand inhabitants at 31 December by vehicle category"

"Measurement","Vehicle category","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"absolute value","Special purpose vehicles","Albania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13319,12342,13356,14467,10615,11388
"absolute value","Special purpose vehicles","Andorra",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Armenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Austria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42593,..,44664,45962,47276,49456,51469,53445,56337
"absolute value","Special purpose vehicles","Azerbaijan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11063,..,..,11232,11924,..,..
"absolute value","Special purpose vehicles","Belarus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Belgium",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66570,66570,67910,69538,71754,74257,76640,78469,80876
"absolute value","Special purpose vehicles","Bosnia and Herzegovina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5658,7300,..,29034,30127
"absolute value","Special purpose vehicles","Bulgaria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33825,35228,37349,37516,34493,35481,36591,38296,40797
"absolute value","Special purpose vehicles","Canada",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10723,11257,11439,12083,12824,13548,14514,15286,16196
"absolute value","Special purpose vehicles","Cyprus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4429,4532,4368,4237,3932,3597,3002,2969,3121,3308,3447,3625,3759,3906
"absolute value","Special purpose vehicles","Czechia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33641,32447,32034,32034,31886,31277,30741,29926,28875,28271
"absolute value","Special purpose vehicles","Denmark",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1303,1293,1259,1227,1196,1198,1198,990,1000
"absolute value","Special purpose vehicles","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Finland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77777,79877,80022,82653,85528,88767,91533,94559
"absolute value","Special purpose vehicles","France",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,433326,437607,486904,731374,213620,217291,221028,228344,237755
"absolute value","Special purpose vehicles","Georgia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32200,35300,37500,40700,..,..,..,..,..
"absolute value","Special purpose vehicles","Germany",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,258954,..,263735,..,..,272877,277132,282374,289024,296377,303607,312910,322952,333246
"absolute value","Special purpose vehicles","Greece",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21339,21378,21288,21048,20454,20196,..,..,..
"absolute value","Special purpose vehicles","Hungary",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12471,12433,12285,11884,11069,10346,9378,8462,7546
"absolute value","Special purpose vehicles","Iceland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40905,..,58047,61647,63625,64238,66139,64442,67141,68601,71359
"absolute value","Special purpose vehicles","Israel",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5530,5714,5970,..
"absolute value","Special purpose vehicles","Italy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,680860,686309,694888,707291,722089,736491,751005,764737,783996
"absolute value","Special purpose vehicles","Kazakhstan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Kyrgyzstan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Latvia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4969,4980,4938,4666,4759,4864,4933,5952,6132
