,Country name,Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,823821.0,1204173.0,1238414.0,1253266.0,1260758.0,1263820.0,1272843.0,1305493.0,1313436.0,1335785.0,1351149.0,
1,Åland Islands,ALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Albania,ALB,,,,95666.0,118420.0,94775.0,106024.0,130003.0,137336.0,150214.0,177381.0,207134.0,224386.0,253332.0,263845.0,279381.0,266432.0,299553.0,355073.0,363110.0,294729.0,300974.0,297341.0,341691.0,378053.0,403680.0,460733.0,436543.0,480186.0,520643.0,560943.0,615551.0,
3,Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,5363728.0,5633747.0,5764422.0,5952419.0,,,,
4,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,9523.0,8312.0,,,,,,
5,Andorra,AND,,,,,,36978.0,36496.0,37599.0,39327.0,41391.0,42863.0,43779.0,45086.0,46912.0,48855.0,,,,,,,,,22025.0,,64188.0,65785.0,,,,,,
6,Angola,AGO,,,,,,,,,,,,,,,,332000.0,335000.0,490000.0,690000.0,700000.0,720000.0,740000.0,770000.0,800000.0,840000.0,880000.0,,,,,,,
7,Anguilla,AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Antarctica,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,35219.0,35730.0,35899.0,39523.0,42284.0,,,
10,Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,13504434.0,14245414.0,,,,,,
11,Armenia,ARM,,,,370650.0,328203.0,258000.0,247000.0,263000.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,60211.0,65781.0,68842.0,78416.0,78961.0,80065.0,,
13,Australia,AUS,,7949911.0,,8372586.0,,8727947.0,9096228.0,9317369.0,9642091.0,9803433.0,,9955246.0,10225598.0,10492999.0,10760359.0,11029685.0,11326068.0,11608657.0,11950715.0,12176345.0,12426709.0,12635236.0,12880156.0,13170142.0,13470292.0,13726247.0,13996156.0,14262661.0,14519756.0,14697949.0,14876783.0,15047437.0,15249749.0
14,Austria,AUT,,,,4052689.0,4177217.0,3906659.0,4006657.0,4107776.0,4222010.0,4355606.0,4451384.0,4541572.0,4334973.0,4408852.0,4471463.0,4524350.0,4578620.0,4627944.0,4675706.0,4757571.0,4847436.0,4930054.0,5010081.0,5075639.0,5139421.0,5201750.0,5288596.0,5383312.0,5484120.0,5563615.0,5633525.0,5711842.0,
15,Azerbaijan,AZE,299254.0,298195.0,294952.0,300064.0,311541.0,312492.0,307232.0,302718.0,312855.0,339616.0,360060.0,374500.0,380514.0,432441.0,473113.0,521217.0,592617.0,662927.0,746959.0,808488.0,864093.0,915444.0,1005917.0,1099041.0,1149882.0,1181337.0,1189026.0,1199467.0,1223231.0,1267857.0,1318904.0,1405464.0,
16,Bahamas,BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,574014.0,622507.0,653162.0,683181.0,691858.0,696136.0,,
18,Bangladesh,BGD,,,,,,,,,,214384.0,225161.0,239405.0,257202.0,277462.0,289257.0,304047.0,328836.0,357589.0,394425.0,370569.0,414154.0,437475.0,482687.0,578760.0,615166.0,628552.0,683553.0,737284.0,786349.0,827790.0,869395.0,,
19,Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,114848.0,,,,,,,
20,Belarus,BLR,,,,832216.0,932519.0,1046069.0,1144448.0,1187675.0,1340334.0,,,,,,,1782951.0,,,2275593.0,2872408.0,3044437.0,3191869.0,3198273.0,3238579.0,3412545.0,3503653.0,3527068.0,3139722.0,3205011.0,3275098.0,3724391.0,3571208.0,
21,Belgium,BEL,,,,4537706.0,4654359.0,4730130.0,4810820.0,4906243.0,5002052.0,5122761.0,5241153.0,5327312.0,5389195.0,5439559.0,5514846.0,5586474.0,5661743.0,5755226.0,5858881.0,5933123.0,6029736.0,6184314.0,6233042.0,5607709.0,5669485.0,6455032.0,6570780.0,6675729.0,6776233.0,6843933.0,6868169.0,6944866.0,
22,Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,37962.5,37075.0,24357.0,24106.5,24295.0,,,
24,Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,26934.0,27026.0,27493.0,27601.0,27838.0,28081.0,,
25,Bhutan,BTN,,,,,,,,,,,,10116.0,11622.0,13135.0,14107.0,16415.0,19393.0,22016.0,26755.0,30004.0,34761.0,41006.0,44608.0,44787.0,46033.0,51673.0,58508.0,65011.0,69931.0,76758.0,80378.0,86828.0,
26,Bolivia (Plurinational State of),BOL,,,,,,,,,,,,,,,,,,,,,,,,,,1128202.0,1200781.0,1246633.0,1300935.0,1353953.0,1371174.0,,
27,"Bonaire, Sint Eustatius and Saba",BES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bosnia and Herzegovina,BIH,,,,,1058.0,62650.0,81047.0,,,,,,,,,429456.0,,,517499.0,694075.0,804662.0,814206.0,829651.0,853736.0,879379.0,908273.0,828333.0,973464.0,1014776.0,1027463.0,1020496.0,1072254.0,
