,Country name,Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,823821,1204173,1238414,1253266,1260758,1263820,1272843,1305493,1313436,1335785,1351149,
1,Åland Islands,ALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Albania,ALB,,,,95666,118420,94775,106024,130003,137336,150214,177381,207134,224386,253332,263845,279381,266432,299553,355073,363110,294729,300974,297341,341691,378053,403680,460733,436543,480186,520643,560943,615551,
3,Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,5363728,5633747,5764422,5952419,,,,
4,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,9523,8312,,,,,,
5,Andorra,AND,,,,,,36978,36496,37599,39327,41391,42863,43779,45086,46912,48855,,,,,,,,,22025,,,,,,,,,
6,Angola,AGO,,,,,,,,,,,,,,,,332000,335000,490000,690000,700000,720000,740000,770000,800000,840000,880000,,,,,,,
7,Anguilla,AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Antarctica,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,35219,35730,35899,39523,42284,,,
10,Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,13504434,14245414,,,,,,
11,Armenia,ARM,,,,370650,328203,258000,247000,263000,,,,,,,,,,,,,,,,,,,,,,,,,
12,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,60211,65781,68842,78416,78961,80065,,
13,Australia,AUS,,7949911,,8372586,,8727947,9096228,9317369,9642091,9803433,,9955246,10225598,10492999,10760359,11029685,11326068,11608657,11950715,12176345,12426709,12635236,12880156,13170142,13470292,13726247,13996156,14262661,14519756,14697949,14876783,15047437,15249749
14,Austria,AUT,,,,4052689,4177217,3906659,4006657,4107776,4222010,4355606,4451384,4541572,4334973,4408852,4471463,4524350,4578620,4627944,4675706,4757571,4847436,4930054,5010081,5075639,5139421,5201750,5288596,5383312,5484120,5563615,5633525,5711842,
15,Azerbaijan,AZE,299254,298195,294952,300064,311541,312492,307232,302718,312855,339616,360060,374500,380514,432441,473113,521217,592617,662927,746959,808488,864093,915444,1005917,1099041,1149882,1181337,1189026,1199467,1223231,1267857,1318904,1405464,
16,Bahamas,BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,574014,622507,653162,683181,691858,696136,,
18,Bangladesh,BGD,,,,,,,,,,214384,225161,239405,257202,277462,289257,304047,328836,357589,394425,370569,414154,437475,482687,578760,615166,628552,683553,737284,786349,827790,869395,,
19,Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,114848,,,,,,,
20,Belarus,BLR,,,,,,,,,,,,,,,,,,,2275593,2872408,3044437,3191869,3198273,3238579,3412545,3503653,3527068,3139722,3205011,3275098,3724391,3571208,
21,Belgium,BEL,,,,4537706,4654359,4730130,4810820,4906243,5002052,5122761,5241153,5327312,5389195,5439559,5514846,5586474,5661743,5755226,5858881,5933123,6029736,6184314,6233042,,,6455032,6570780,6675729,6776233,6843933,6868169,6944866,
22,Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,37962.5,37075,24357,24106.5,24295,,,
24,Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,26934,27026,27493,27601,27838,28081,,
25,Bhutan,BTN,,,,,,,,,,,,10116,11622,13135,14107,16415,19393,22016,26755,30004,34761,41006,44608,44787,46033,51673,58508,65011,69931,76758,80378,86828,
26,Bolivia (Plurinational State of),BOL,,,,,,,,,,,,,,,,,,,,,,,,,,1128202,1200781,1246633,1300935,1353953,1371174,,
27,"Bonaire, Sint Eustatius and Saba",BES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,429456,,,517499,694075,804662,814206,829651,853736,879379,908273,828333,973464,1014776,1027463,1020496,1072254,
29,Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,365439,399121,415256,433843,467749,497875,525987,551833,599344,577773,,
30,Bouvet Island,BVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,64164723,66215856,68456385,71021475,73807436,75863573,,
32,British Indian Ocean Territory,IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,155696,,,220305,244016,247081,247655,257676,257534,262726,270211,261273,,
34,Bulgaria,BGR,,,,1708942,1844188,1913016,1978482,2004968,2093532,2180852,2295395,2399152,2497818,2646835,2792311,2909642,,2367199,2690410,2844899,2959914,3066212,3197318,3321453,3449341,3630438,4029027,3587731,3619657,3704939,3347644,3306709,
35,Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,299085,324185,352657,382905,415257,447303,,
36,Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,30325,34266,48442,48978,49131,,,
37,Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,57360,,,,,,
38,Cambodia,KHM,,,135088,141964,149628,155974,163239,171268,176268,186480,194876,201225,210213,220737,236705,249249,,,,,,,,,,,120553,,,,,,
39,Cameroon,CMR,,,,,,,,,,,,,,,,,,,,70367,67116,23423,57599,61236,,50081,48747,51142,,,,,
40,Canada,CAN,,,,16334762,16597303,16676888,16894798,17078194,17581125,16611174,17120053,17426850,17919747,18227555,18429786,18804804,,,20228489,20651580,20354309,,20739380,21350538,21820246,22158329,22500673,22678328,23137203,23472111,23810595,24157697,
41,Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,38588,38347,35067,35620,37904,31528,,
42,Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,1124000,,,,,,
44,Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,4464951,4676852,4900037,5182245,5393768,5591145,,
45,China,CHN,,,,,,,,,,,,,,,,21324500,26195700,31959900,38389100,48450900,61241200,74783700,89430099,105617700,123267000,140958700,162782400,184695400,205554100,224742800,241661900,260158400,
46,Christmas Island,CXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Cocos (Keeling) Islands,CCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,5186532,5440622,5679528,5937038,6143287,6310037,,
49,Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,34898,,,,,,
50,Congo,COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Congo, Democratic Republic of the",COD,,,,,,,,,,,,,,,,,,,,,,,,,,53054,59187,,,,,,
52,Cook Islands,COK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,1076401,1127919,1180351,1225156,1249334,1317164,,
54,Côte d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,53054,59187,,,,,,
55,Croatia,HRV,,,,703241,768352,788304,935231,1046783,1120634,1181882,1245326,1317968,1369704,1433658,1487260,1538129,1596310,1679957,1725875,1711048,1681298,1674837,1588231,1591346,1619747,1651261,1715090,1769843,1853694,1924591,1953808,2014573,
56,Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,413310,417957,417586,418524,,,,
57,Curaçao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,91398,93015,97783,103273,98503,77670,,
